                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.88401,                0.59873,                 1.1482,                 0.5855,                0.62343,                0.62178,                0.33467,                 1.7275,                 1.5717,                 1.9806,               0.004159,               0.004159,               0.004159
                     61,                0.92836,                0.62521,                 1.1729,                0.61111,                0.57634,                0.60974,                0.32353,                 1.7808,                 1.7162,                 2.0347,                0.00406,                0.00406,                0.00406
                     62,                0.87938,                0.59055,                 1.1384,                0.55746,                 0.6544,                0.60733,                0.32566,                 1.7675,                 1.7167,                 2.0342,               0.003961,               0.003961,               0.003961
                     63,                0.86844,                 0.6005,                  1.145,                0.66298,                0.53233,                0.60607,                0.32524,                 1.7836,                 1.7058,                 2.0467,               0.003862,               0.003862,               0.003862
                     64,                0.87188,                0.58969,                 1.1332,                0.58423,                0.55462,                0.57994,                0.32744,                 1.7354,                   1.76,                  2.024,               0.003763,               0.003763,               0.003763
                     65,                0.87285,                 0.5942,                 1.1495,                0.67449,                0.58759,                0.57715,                0.31411,                 1.7465,                 1.7589,                 2.0195,               0.003664,               0.003664,               0.003664
                     66,                0.85192,                0.58682,                 1.1372,                 0.5833,                0.60075,                0.59691,                0.32482,                 1.7671,                 1.6714,                 2.0361,               0.003565,               0.003565,               0.003565
                     67,                0.84732,                0.56891,                  1.115,                0.67949,                0.58541,                0.58339,                0.32725,                 1.7696,                 1.6348,                  2.048,               0.003466,               0.003466,               0.003466
                     68,                0.83271,                0.55512,                 1.1096,                0.68218,                0.56977,                 0.6074,                0.32432,                 1.8053,                 1.6608,                 2.1065,               0.003367,               0.003367,               0.003367
                     69,                0.85946,                0.56536,                 1.1341,                 0.6404,                0.61864,                0.62456,                0.34186,                 1.8123,                 1.6109,                 2.1032,               0.003268,               0.003268,               0.003268
                     70,                0.83275,                0.56032,                 1.1227,                0.58594,                0.58817,                0.59267,                0.32527,                 1.8164,                  1.682,                 2.0579,               0.003169,               0.003169,               0.003169
                     71,                0.82082,                0.57002,                 1.1142,                0.66934,                0.58561,                0.61357,                0.33842,                 1.8236,                 1.6223,                 2.0908,                0.00307,                0.00307,                0.00307
                     72,                0.82377,                0.55187,                 1.1025,                 0.7482,                0.55346,                 0.6105,                0.34169,                 1.8088,                 1.6273,                 2.0836,               0.002971,               0.002971,               0.002971
                     73,                0.82319,                0.57052,                 1.1187,                0.68485,                0.60373,                0.61814,                0.33114,                 1.8278,                 1.6056,                 2.1182,               0.002872,               0.002872,               0.002872
                     74,                0.80912,                0.54899,                 1.1103,                0.64937,                0.64686,                0.62599,                0.33659,                 1.7885,                 1.6023,                 2.0686,               0.002773,               0.002773,               0.002773
                     75,                0.81238,                0.54668,                 1.0997,                 0.6649,                 0.6343,                0.64784,                0.34127,                 1.7812,                 1.6103,                  2.077,               0.002674,               0.002674,               0.002674
